ID,Name,Dex,Set,Era,Rarity,Artist,Image URL (High Res),TCGPlayer Market Link
sv3pt5-166,Bulbasaur,1.0,151,Scarlet & Violet,Illustration Rare,Yoriyuki Ikegami,https://images.pokemontcg.io/sv3pt5/166_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-166
me1-133,Bulbasaur,1.0,Mega Evolution,Mega Evolution,Illustration Rare,Unknown,https://images.pokemontcg.io/me1/133_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-133
sv7-143,Bulbasaur,1.0,Stellar Crown,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv7/143_hires.png,https://prices.pokemontcg.io/tcgplayer/sv7-143
sv3pt5-167,Ivysaur,2.0,151,Scarlet & Violet,Illustration Rare,Yoriyuki Ikegami,https://images.pokemontcg.io/sv3pt5/167_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-167
me1-134,Ivysaur,2.0,Mega Evolution,Mega Evolution,Illustration Rare,Unknown,https://images.pokemontcg.io/me1/134_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-134
me1-177,Mega Venusaur ex,3.0,Mega Evolution,Mega Evolution,Special Illustration Rare,Unknown,https://images.pokemontcg.io/me1/177_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-177
sv3pt5-198,Venusaur ex,3.0,151,Scarlet & Violet,Special Illustration Rare,Yoriyuki Ikegami,https://images.pokemontcg.io/sv3pt5/198_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-198
sv3pt5-168,Charmander,4.0,151,Scarlet & Violet,Illustration Rare,miki kudo,https://images.pokemontcg.io/sv3pt5/168_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-168
sv3pt5-169,Charmeleon,5.0,151,Scarlet & Violet,Illustration Rare,miki kudo,https://images.pokemontcg.io/sv3pt5/169_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-169
sv3pt5-199,Charizard ex,6.0,151,Scarlet & Violet,Special Illustration Rare,miki kudo,https://images.pokemontcg.io/sv3pt5/199_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-199
sv3-223,Charizard ex,6.0,Obsidian Flames,Scarlet & Violet,Special Illustration Rare,AKIRA EGAWA,https://images.pokemontcg.io/sv3/223_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-223
sv4pt5-234,Charizard ex,6.0,Paldean Fates,Scarlet & Violet,Special Illustration Rare,AKIRA EGAWA,https://images.pokemontcg.io/sv4pt5/234_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4pt5-234
me2-125,Mega Charizard X ex,6.0,Phantasmal Flames,Mega Evolution,Special Illustration Rare,danciao,https://images.pokemontcg.io/me2/125_hires.png,https://prices.pokemontcg.io/tcgplayer/me2-125
sv3pt5-170,Squirtle,7.0,151,Scarlet & Violet,Illustration Rare,Mitsuhiro Arita,https://images.pokemontcg.io/sv3pt5/170_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-170
sv7-148,Squirtle,7.0,Stellar Crown,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv7/148_hires.png,https://prices.pokemontcg.io/tcgplayer/sv7-148
sv3pt5-171,Wartortle,8.0,151,Scarlet & Violet,Illustration Rare,Mitsuhiro Arita,https://images.pokemontcg.io/sv3pt5/171_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-171
sv3pt5-200,Blastoise ex,9.0,151,Scarlet & Violet,Special Illustration Rare,Mitsuhiro Arita,https://images.pokemontcg.io/sv3pt5/200_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-200
sv3pt5-172,Caterpie,10.0,151,Scarlet & Violet,Illustration Rare,Teeziro,https://images.pokemontcg.io/sv3pt5/172_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-172
sv3-207,Pidgey,16.0,Obsidian Flames,Scarlet & Violet,Illustration Rare,Jerky,https://images.pokemontcg.io/sv3/207_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-207
sv3-208,Pidgeotto,17.0,Obsidian Flames,Scarlet & Violet,Illustration Rare,Jerky,https://images.pokemontcg.io/sv3/208_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-208
sv3-225,Pidgeot ex,18.0,Obsidian Flames,Scarlet & Violet,Special Illustration Rare,Jerky,https://images.pokemontcg.io/sv3/225_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-225
me3-99,Raticate,20.0,Perfect Order,Mega Evolution,Illustration Rare,Unknown,https://images.scrydex.com/pokemon/me3-99/large,https://prices.pokemontcg.io/tcgplayer/me3-99
sv10-202,Team Rocket's Raticate,20.0,Destined Rivals,Scarlet & Violet,Illustration Rare,Mékayu,https://images.pokemontcg.io/sv10/202_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-202
me1-151,Spearow,21.0,Mega Evolution,Mega Evolution,Illustration Rare,Unknown,https://images.pokemontcg.io/me1/151_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-151
sv5-176,Arbok,24.0,Temporal Forces,Scarlet & Violet,Illustration Rare,OKUBO,https://images.pokemontcg.io/sv5/176_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-176
sv3pt5-173,Pikachu,25.0,151,Scarlet & Violet,Illustration Rare,Hiroyuki Yamamoto,https://images.pokemontcg.io/sv3pt5/173_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-173
me2pt5-276,Pikachu ex,25.0,Ascended Heroes,Mega Evolution,Special Illustration Rare,booota,https://images.scrydex.com/pokemon/me2pt5-276/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-276
me2pt5-277,Pikachu ex,25.0,Ascended Heroes,Mega Evolution,Special Illustration Rare,James Turner,https://images.scrydex.com/pokemon/me2pt5-277/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-277
sv8-238,Pikachu ex,25.0,Surging Sparks,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/238_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-238
sv2-211,Raichu,26.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Toshinao Aoki,https://images.pokemontcg.io/sv2/211_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-211
sv3pt5-174,Nidoking,34.0,151,Scarlet & Violet,Illustration Rare,Misaki Hashimoto,https://images.pokemontcg.io/sv3pt5/174_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-174
sv10-233,Team Rocket's Nidoking ex,34.0,Destined Rivals,Scarlet & Violet,Special Illustration Rare,Uninori,https://images.pokemontcg.io/sv10/233_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-233
me3-94,Clefairy,35.0,Perfect Order,Mega Evolution,Illustration Rare,Unknown,https://images.scrydex.com/pokemon/me3-94/large,https://prices.pokemontcg.io/tcgplayer/me3-94
me2pt5-280,Lillie's Clefairy ex,35.0,Ascended Heroes,Mega Evolution,Special Illustration Rare,Naoki Saito,https://images.scrydex.com/pokemon/me2pt5-280/large,N/A
sv9-184,Lillie's Clefairy ex,35.0,Journey Together,Scarlet & Violet,Special Illustration Rare,Susumu Maeya,https://images.pokemontcg.io/sv9/184_hires.png,https://prices.pokemontcg.io/tcgplayer/sv9-184
me3-119,Mega Clefable ex,36.0,Perfect Order,Mega Evolution,Special Illustration Rare,Unknown,https://images.scrydex.com/pokemon/me3-119/large,https://prices.pokemontcg.io/tcgplayer/me3-119
me1-138,Vulpix,37.0,Mega Evolution,Mega Evolution,Illustration Rare,Unknown,https://images.pokemontcg.io/me1/138_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-138
sv3-199,Ninetales,38.0,Obsidian Flames,Scarlet & Violet,Illustration Rare,SIE NANAHARA,https://images.pokemontcg.io/sv3/199_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-199
me2-105,Wigglytuff,40.0,Phantasmal Flames,Mega Evolution,Illustration Rare,REND,https://images.pokemontcg.io/me2/105_hires.png,https://prices.pokemontcg.io/tcgplayer/me2-105
sv3-198,Gloom,44.0,Obsidian Flames,Scarlet & Violet,Illustration Rare,Masako Tomii,https://images.pokemontcg.io/sv3/198_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-198
sv8-208,Alolan Dugtrio,51.0,Surging Sparks,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/208_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-208
me2pt5-239,Team Rocket's Dugtrio,51.0,Ascended Heroes,Mega Evolution,Illustration Rare,Whisker,https://images.scrydex.com/pokemon/me2pt5-239/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-239
me2-106,Meowth,52.0,Phantasmal Flames,Mega Evolution,Illustration Rare,Uninori,https://images.pokemontcg.io/me2/106_hires.png,https://prices.pokemontcg.io/tcgplayer/me2-106
me3-121,Meowth ex,52.0,Perfect Order,Mega Evolution,Special Illustration Rare,Unknown,https://images.scrydex.com/pokemon/me3-121/large,https://prices.pokemontcg.io/tcgplayer/me3-121
sv10-203,Team Rocket's Meowth,52.0,Destined Rivals,Scarlet & Violet,Illustration Rare,Shimaris Yukichi,https://images.pokemontcg.io/sv10/203_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-203
sv6pt5-78,Persian,53.0,Shrouded Fable,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/78_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-78
sv10-193,Misty's Psyduck,54.0,Destined Rivals,Scarlet & Violet,Illustration Rare,OKACHEKE,https://images.pokemontcg.io/sv10/193_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-193
sv3pt5-175,Psyduck,54.0,151,Scarlet & Violet,Illustration Rare,Whisker,https://images.pokemontcg.io/sv3pt5/175_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-175
me2pt5-226,Psyduck,54.0,Ascended Heroes,Mega Evolution,Illustration Rare,REND,https://images.scrydex.com/pokemon/me2pt5-226/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-226
sv6-181,Hisuian Growlithe,58.0,Twilight Masquerade,Scarlet & Violet,Illustration Rare,GIDORA,https://images.pokemontcg.io/sv6/181_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-181
sv3pt5-176,Poliwhirl,61.0,151,Scarlet & Violet,Illustration Rare,Gemi,https://images.pokemontcg.io/sv3pt5/176_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-176
sv3pt5-201,Alakazam ex,65.0,151,Scarlet & Violet,Special Illustration Rare,Shinya Komatsu,https://images.pokemontcg.io/sv3pt5/201_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-201
sv3pt5-177,Machoke,67.0,151,Scarlet & Violet,Illustration Rare,Tetsu Kayama,https://images.pokemontcg.io/sv3pt5/177_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-177
sv10-189,Rapidash,78.0,Destined Rivals,Scarlet & Violet,Illustration Rare,Rond,https://images.pokemontcg.io/sv10/189_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-189
sv1-204,Slowpoke,79.0,Scarlet & Violet,Scarlet & Violet,Illustration Rare,Toshinao Aoki,https://images.pokemontcg.io/sv1/204_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-204
me2-97,Dewgong,87.0,Phantasmal Flames,Mega Evolution,Illustration Rare,satoma,https://images.pokemontcg.io/me2/97_hires.png,https://prices.pokemontcg.io/tcgplayer/me2-97
sv5-177,Gastly,92.0,Temporal Forces,Scarlet & Violet,Illustration Rare,Mousho,https://images.pokemontcg.io/sv5/177_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-177
me2pt5-284,Mega Gengar ex,94.0,Ascended Heroes,Mega Evolution,Special Illustration Rare,danciao,https://images.scrydex.com/pokemon/me2pt5-284/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-284
sv1-210,Drowzee,96.0,Scarlet & Violet,Scarlet & Violet,Illustration Rare,Tomokazu Komiya,https://images.pokemontcg.io/sv1/210_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-210
sv8-192,Exeggcute,102.0,Surging Sparks,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/192_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-192
sv8-242,Alolan Exeggutor ex,103.0,Surging Sparks,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/242_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-242
me1-135,Exeggutor,103.0,Mega Evolution,Mega Evolution,Illustration Rare,Unknown,https://images.pokemontcg.io/me1/135_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-135
sv5-180,Lickitung,108.0,Temporal Forces,Scarlet & Violet,Illustration Rare,Orca,https://images.pokemontcg.io/sv5/180_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-180
sv10-199,Team Rocket's Weezing,110.0,Destined Rivals,Scarlet & Violet,Illustration Rare,Yukihiro Tada,https://images.pokemontcg.io/sv10/199_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-199
sv6-187,Chansey,113.0,Twilight Masquerade,Scarlet & Violet,Illustration Rare,Toshinao Aoki,https://images.pokemontcg.io/sv6/187_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-187
me2pt5-218,Erika's Tangela,114.0,Ascended Heroes,Mega Evolution,Illustration Rare,buchi,https://images.scrydex.com/pokemon/me2pt5-218/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-218
sv3pt5-178,Tangela,114.0,151,Scarlet & Violet,Illustration Rare,Oswaldo KATO,https://images.pokemontcg.io/sv3pt5/178_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-178
sv10-204,Kangaskhan,115.0,Destined Rivals,Scarlet & Violet,Illustration Rare,Mékayu,https://images.pokemontcg.io/sv10/204_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-204
me1-182,Mega Kangaskhan ex,115.0,Mega Evolution,Mega Evolution,Special Illustration Rare,Unknown,https://images.pokemontcg.io/me1/182_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-182
sv6pt5-67,Horsea,116.0,Shrouded Fable,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/67_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-67
me3-118,Mega Starmie ex,121.0,Perfect Order,Mega Evolution,Special Illustration Rare,Unknown,https://images.scrydex.com/pokemon/me3-118/large,https://prices.pokemontcg.io/tcgplayer/me3-118
sv3pt5-179,Mr. Mime,122.0,151,Scarlet & Violet,Illustration Rare,OKACHEKE,https://images.pokemontcg.io/sv3pt5/179_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-179
sv6-168,Pinsir,127.0,Twilight Masquerade,Scarlet & Violet,Illustration Rare,Yukihiro Tada,https://images.pokemontcg.io/sv6/168_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-168
sv2-218,Paldean Tauros,128.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Anesaki Dynamic,https://images.pokemontcg.io/sv2/218_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-218
sv2-203,Magikarp,129.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Shinji Kanda,https://images.pokemontcg.io/sv2/203_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-203
sv10-194,Misty's Lapras,131.0,Destined Rivals,Scarlet & Violet,Illustration Rare,Orca,https://images.pokemontcg.io/sv10/194_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-194
sv6-188,Eevee,133.0,Twilight Masquerade,Scarlet & Violet,Illustration Rare,Narumi Sato,https://images.pokemontcg.io/sv6/188_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-188
sv8pt5-167,Eevee ex,133.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/167_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-167
sv8pt5-149,Vaporeon ex,134.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/149_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-149
sv8pt5-153,Jolteon ex,135.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/153_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-153
sv8pt5-146,Flareon ex,136.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/146_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-146
sv3pt5-180,Omanyte,138.0,151,Scarlet & Violet,Illustration Rare,Yano Keiji,https://images.pokemontcg.io/sv3pt5/180_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-180
sv9-161,Articuno,144.0,Journey Together,Scarlet & Violet,Illustration Rare,Kuroimori,https://images.pokemontcg.io/sv9/161_hires.png,https://prices.pokemontcg.io/tcgplayer/sv9-161
sv3pt5-202,Zapdos ex,145.0,151,Scarlet & Violet,Special Illustration Rare,Shiburingaru,https://images.pokemontcg.io/sv3pt5/202_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-202
sv10-229,Team Rocket's Moltres ex,146.0,Destined Rivals,Scarlet & Violet,Special Illustration Rare,AKIRA EGAWA,https://images.pokemontcg.io/sv10/229_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-229
sv3pt5-181,Dragonair,148.0,151,Scarlet & Violet,Illustration Rare,rika,https://images.pokemontcg.io/sv3pt5/181_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3pt5-181
me2pt5-290,Mega Dragonite ex,149.0,Ascended Heroes,Mega Evolution,Special Illustration Rare,DOM,https://images.scrydex.com/pokemon/me2pt5-290/large,N/A
me2pt5-281,Team Rocket's Mewtwo ex,150.0,Ascended Heroes,Mega Evolution,Special Illustration Rare,Mitsuhiro Arita,https://images.scrydex.com/pokemon/me2pt5-281/large,N/A
sv10-231,Team Rocket's Mewtwo ex,150.0,Destined Rivals,Scarlet & Violet,Special Illustration Rare,Iwamoto05,https://images.pokemontcg.io/sv10/231_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-231
sv4pt5-232,Mew ex,151.0,Paldean Fates,Scarlet & Violet,Special Illustration Rare,USGMEN,https://images.pokemontcg.io/sv4pt5/232_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4pt5-232
me2pt5-272,Mega Meganium ex,154.0,Ascended Heroes,Mega Evolution,Special Illustration Rare,Tika Matsuno,https://images.scrydex.com/pokemon/me2pt5-272/large,N/A
sv10-190,Ethan's Typhlosion,157.0,Destined Rivals,Scarlet & Violet,Illustration Rare,GIDORA,https://images.pokemontcg.io/sv10/190_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-190
me2pt5-274,Mega Feraligatr ex,160.0,Ascended Heroes,Mega Evolution,Special Illustration Rare,Souichirou Gunjima,https://images.scrydex.com/pokemon/me2pt5-274/large,N/A
sv9-168,Furret,162.0,Journey Together,Scarlet & Violet,Illustration Rare,REND,https://images.pokemontcg.io/sv9/168_hires.png,https://prices.pokemontcg.io/tcgplayer/sv9-168
sv7-144,Ledian,166.0,Stellar Crown,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv7/144_hires.png,https://prices.pokemontcg.io/tcgplayer/sv7-144
sv10-234,Team Rocket's Crobat ex,169.0,Destined Rivals,Scarlet & Violet,Special Illustration Rare,cochi8i,https://images.pokemontcg.io/sv10/234_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-234
sv3-202,Cleffa,173.0,Obsidian Flames,Scarlet & Violet,Illustration Rare,HYOGONOSUKE,https://images.pokemontcg.io/sv3/202_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-202
me2pt5-232,Marill,183.0,Ascended Heroes,Mega Evolution,Illustration Rare,Rond,https://images.scrydex.com/pokemon/me2pt5-232/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-232
sv2-204,Marill,183.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Atsuya Uki,https://images.pokemontcg.io/sv2/204_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-204
sv2-219,Sudowoodo,185.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Narumi Sato,https://images.pokemontcg.io/sv2/219_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-219
sv4-211,Aipom,190.0,Paradox Rift,Scarlet & Violet,Illustration Rare,Yuka Morii,https://images.pokemontcg.io/sv4/211_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-211
sv6-169,Sunflora,192.0,Twilight Masquerade,Scarlet & Violet,Illustration Rare,Shinya Komatsu,https://images.pokemontcg.io/sv6/169_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6-169
sv10-183,Yanma,193.0,Destined Rivals,Scarlet & Violet,Illustration Rare,Ayako Ozaki,https://images.pokemontcg.io/sv10/183_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-183
sv2-221,Paldean Wooper,194.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Miki Tanaka,https://images.pokemontcg.io/sv2/221_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-221
me2-102,Paldean Wooper,194.0,Phantasmal Flames,Mega Evolution,Illustration Rare,OKACHEKE,https://images.pokemontcg.io/me2/102_hires.png,https://prices.pokemontcg.io/tcgplayer/me2-102
sv8pt5-155,Espeon ex,196.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/155_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-155
sv8pt5-161,Umbreon ex,197.0,Prismatic Evolutions,Scarlet & Violet,Special Illustration Rare,Unknown,https://images.pokemontcg.io/sv8pt5/161_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8pt5-161
sv10-200,Team Rocket's Murkrow,198.0,Destined Rivals,Scarlet & Violet,Illustration Rare,Akira Komayama,https://images.pokemontcg.io/sv10/200_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-200
me2pt5-233,Misdreavus,200.0,Ascended Heroes,Mega Evolution,Illustration Rare,mashu,https://images.scrydex.com/pokemon/me2pt5-233/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-233
me1-150,Steelix,208.0,Mega Evolution,Mega Evolution,Illustration Rare,Unknown,https://images.pokemontcg.io/me1/150_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-150
sv4-208,Steelix,208.0,Paradox Rift,Scarlet & Violet,Illustration Rare,nisimono,https://images.pokemontcg.io/sv4/208_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-208
sv3-205,Scizor,212.0,Obsidian Flames,Scarlet & Violet,Illustration Rare,Oku,https://images.pokemontcg.io/sv3/205_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-205
me1-136,Shuckle,213.0,Mega Evolution,Mega Evolution,Illustration Rare,Unknown,https://images.pokemontcg.io/me1/136_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-136
sv2-194,Heracross,214.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Kurata So,https://images.pokemontcg.io/sv2/194_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-194
me2pt5-222,Ethan's Magcargo,219.0,Ascended Heroes,Mega Evolution,Illustration Rare,Hideki Ishikawa,https://images.scrydex.com/pokemon/me2pt5-222/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-222
sv9-165,Swinub,220.0,Journey Together,Scarlet & Violet,Illustration Rare,Nakamura Ippan,https://images.pokemontcg.io/sv9/165_hires.png,https://prices.pokemontcg.io/tcgplayer/sv9-165
me1-152,Delibird,225.0,Mega Evolution,Mega Evolution,Illustration Rare,Unknown,https://images.pokemontcg.io/me1/152_hires.png,https://prices.pokemontcg.io/tcgplayer/me1-152
sv8-209,Skarmory,227.0,Surging Sparks,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/209_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-209
sv3-204,Houndour,228.0,Obsidian Flames,Scarlet & Violet,Illustration Rare,KYUPIYAMA,https://images.pokemontcg.io/sv3/204_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-204
sv6pt5-66,Houndoom,229.0,Shrouded Fable,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv6pt5/66_hires.png,https://prices.pokemontcg.io/tcgplayer/sv6pt5-66
sv10-191,Team Rocket's Houndoom,229.0,Destined Rivals,Scarlet & Violet,Illustration Rare,nagimiso,https://images.pokemontcg.io/sv10/191_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-191
sv8-205,Phanpy,231.0,Surging Sparks,Scarlet & Violet,Illustration Rare,Unknown,https://images.pokemontcg.io/sv8/205_hires.png,https://prices.pokemontcg.io/tcgplayer/sv8-205
me2pt5-240,Hitmontop,237.0,Ascended Heroes,Mega Evolution,Illustration Rare,osare,https://images.scrydex.com/pokemon/me2pt5-240/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-240
sv4-186,Magby,240.0,Paradox Rift,Scarlet & Violet,Illustration Rare,Mina Nakai,https://images.pokemontcg.io/sv4/186_hires.png,https://prices.pokemontcg.io/tcgplayer/sv4-186
sv3-203,Larvitar,246.0,Obsidian Flames,Scarlet & Violet,Illustration Rare,Miki Tanaka,https://images.pokemontcg.io/sv3/203_hires.png,https://prices.pokemontcg.io/tcgplayer/sv3-203
sv2-222,Tyranitar,248.0,Paldea Evolved,Scarlet & Violet,Illustration Rare,Nurikabe,https://images.pokemontcg.io/sv2/222_hires.png,https://prices.pokemontcg.io/tcgplayer/sv2-222
sv10-230,Ethan's Ho-Oh ex,250.0,Destined Rivals,Scarlet & Violet,Special Illustration Rare,Atsushi Furusawa,https://images.pokemontcg.io/sv10/230_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-230
sv10-192,Blaziken,257.0,Destined Rivals,Scarlet & Violet,Illustration Rare,kodama,https://images.pokemontcg.io/sv10/192_hires.png,https://prices.pokemontcg.io/tcgplayer/sv10-192
me2pt5-243,Mightyena,262.0,Ascended Heroes,Mega Evolution,Illustration Rare,Yano Keiji,https://images.scrydex.com/pokemon/me2pt5-243/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-243
me2pt5-219,Beautifly,267.0,Ascended Heroes,Mega Evolution,Illustration Rare,Mori Yuu,https://images.scrydex.com/pokemon/me2pt5-219/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-219
me2pt5-220,Dustox,269.0,Ascended Heroes,Mega Evolution,Illustration Rare,IKEDA Saki,https://images.scrydex.com/pokemon/me2pt5-220/large,https://prices.pokemontcg.io/tcgplayer/me2pt5-220
me2-95,Ludicolo,272.0,Phantasmal Flames,Mega Evolution,Illustration Rare,Jerky,https://images.pokemontcg.io/me2/95_hires.png,https://prices.pokemontcg.io/tcgplayer/me2-95
sv5-163,Shiftry,275.0,Temporal Forces,Scarlet & Violet,Illustration Rare,SIE NANAHARA,https://images.pokemontcg.io/sv5/163_hires.png,https://prices.pokemontcg.io/tcgplayer/sv5-163
sv1-211,Ralts,280.0,Scarlet & Violet,Scarlet & Violet,Illustration Rare,Jiro Sasumo,https://images.pokemontcg.io/sv1/211_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-211
sv1-212,Kirlia,281.0,Scarlet & Violet,Scarlet & Violet,Illustration Rare,Jiro Sasumo,https://images.pokemontcg.io/sv1/212_hires.png,https://prices.pokemontcg.io/tcgplayer/sv1-212
